profile,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,mean_C_U,mean_C_R,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,min_final_I
growth_125,a10_supervisor_v07,2.566599422923732,3.345755477709223,3.626466825748376,3.829427301013652e-07,3.829427301013652e-07,0.06,0.0014624999999999933,1.0830021842772062,0.7694616983648533,48.25337577955503,0.0,0.0,0.0,0.0,0.065,0.0,0.40604987157478456,0.8636862799651157,0.7953900715294256,0.1081662496638577,1.0261345287754575
growth_125,a10_supervisor_refined_v07,2.5839826979039775,3.3618450882709596,3.637802193397537,3.806946960239926e-07,3.806946960239926e-07,0.06,0.0014624999999999933,1.0831827352449328,0.7806589407675294,48.55625680561739,0.0,0.0,0.0,0.0,0.065,0.0,0.40255318884966,0.8616635513642644,0.7953900715294256,0.10810658664446979,1.0263298122681974
growth_125,a10_minimax_v07,2.6327544104362848,3.3412707932166668,3.58249254260004,1.6574041474924043e-06,1.657210878534995e-05,0.105,0.003816666666666656,1.0575269580315156,0.903843993227375,49.03639742752121,0.0,0.0,0.0,0.0,0.11,0.0,0.3829740560290821,0.8181176806609912,0.7954470722193989,0.08873870938152616,1.0016286004527275
growth_150,power_only,0.6833238832088177,1.3991342999673209,2.5249922344187143,0.002052255287452874,0.008748817159892742,0.935,0.20124166666666657,1.153012083748561,0.4526357054895165,7.751424267312538,0.0,0.0,0.825,0.0,0.565,0.0,0.934183410847019,1.3874137085385048,0.8518578416120957,-0.07779920111967295,1.100151915463732
growth_150,lqr_like,2.6549395580463737,3.8213939729870154,4.134854296155388,0.0003659348708402494,0.0021968400940043575,0.675,0.15732083333333327,1.1920390791457292,0.6819975163334538,49.63893135391316,0.0,0.0,0.505,0.0,0.305,0.0,0.6676619760755554,1.1897145596274654,0.9060242340152326,0.01954880184075124,1.1527920653336052
growth_150,a10_barrier_v03,2.4790752222893264,3.432190881573623,3.8646191573635527,0.0001750371160679296,0.001241699935619615,0.45,0.11456249999999997,1.1880175558972395,0.7169935844707495,46.36345587576767,0.0,0.0,0.455,0.0,0.0,0.0,0.5747518299888773,1.1363339300448412,0.8530426922075259,0.3684395803244657,1.1667292315768643
growth_150,a10_thermal_v04,2.6950924123468223,3.5990138081183445,3.9468244075772043,1.982938039353179e-06,1.982938039353179e-06,0.07,0.007891666666666661,1.1642585643206627,0.7933923846393118,50.72431283230049,0.0,0.0,0.07,0.0,0.0,0.0,0.5437544863125764,1.0505273494185783,0.8429254289556408,0.25618782291831466,1.1388662653288957
growth_150,a10_adaptive_v06,2.706719805119157,3.597137456802254,3.954579737028993,2.80773160807076e-07,2.80773160807076e-07,0.02,0.0013833333333333317,1.1530020249797797,0.8428258055489486,50.762531333865724,0.0,0.0,0.02,0.0,0.0,0.0,0.5300939008813502,1.0308623218492197,0.8294889391343666,0.2601773124025291,1.1280698654490018
growth_150,a10_supply_priority_v06,2.7119407339854558,3.5969752123442924,3.9207201416752056,1.7964867681000695e-07,1.7964867681000695e-07,0.02,0.0010833333333333313,1.1516471788616216,0.8522133269413128,50.82960207459025,0.0,0.0,0.02,0.0,0.0,0.0,0.5295206913523225,1.0254246851465108,0.8294868519222451,0.22429218587607447,1.1176387811726032
growth_150,a10_supervisor_v07,2.703868332271636,3.5011232911140824,3.725601403068145,3.857572220639079e-07,3.857572220639079e-07,0.065,0.001437499999999993,1.0779240668486454,0.8154540920264773,50.81477876288269,0.0,0.0,0.0,0.0,0.075,0.0,0.500671953763418,0.8936455645503633,0.7953253315284193,0.11094708441010903,1.021977399380462
growth_150,a10_supervisor_refined_v07,2.718748165968272,3.514853497224091,3.729857032963178,3.8946283050283893e-07,3.8946283050283893e-07,0.06,0.0014541666666666594,1.0781524239795086,0.8283519127921545,51.06077674253581,0.0,0.0,0.0,0.0,0.075,0.0,0.49609749387455326,0.8913832578556228,0.7953253315284193,0.11048259385258184,1.022208699090987
growth_150,a10_minimax_v07,2.75820786150545,3.5060796283468756,3.687063942844762,2.289343241461418e-06,2.2871216751493004e-05,0.115,0.004212499999999989,1.0526991717829768,0.9444349356171611,51.381614949058346,0.0,0.0,0.0,0.0,0.115,0.02,0.4769141428396701,0.8472208983783889,0.7953848311486799,0.08246094660281399,0.9956435248017191
heat_125,power_only,0.90469779264002,1.8851159356241294,2.4783905046863275,0.004267305441743907,0.013697017009694237,0.96,0.4698833333333333,1.1428822656266835,0.4289777556264774,7.8434339468066785,0.0,0.0,0.915,0.0,0.57,0.0,0.5017034536468357,1.255401004528115,0.8515979132566569,-0.06008936495299365,1.110199967753149
heat_125,lqr_like,3.3282344921622746,5.360321150162166,6.347913565775007,0.007161637961250582,0.022668352052334223,0.925,0.5520833333333333,1.191693154504319,0.6573245064583111,49.612115894911085,0.0,0.0,0.9,0.0,0.305,0.0,0.3833994442383495,1.2312588059852811,0.9004422996170691,0.023141676941903756,1.1635584548098943
heat_125,a10_barrier_v03,2.8460610101451573,4.444445724770103,5.314303730948883,0.004165282842490975,0.014461447759959455,0.83,0.47174166666666667,1.1755340404705177,0.7250496107415947,45.69045607495482,0.0,0.0,0.83,0.0,0.0,0.0,0.3333528068138278,1.1923198739871677,0.8527451368072843,0.34028392987390793,1.1532966893873886
heat_125,a10_thermal_v04,2.730816966057404,3.769243444890518,4.3199445754083685,0.0008186804451145775,0.004091501971326712,0.5,0.2883166666666666,1.146611007809776,0.8849759718821626,49.43907454339028,0.0,0.0,0.51,0.0,0.0,0.0,0.31151094754290465,1.1093952506456832,0.8418623613816488,0.23906808712763977,1.123229318297941
heat_125,a10_adaptive_v06,2.701341657368662,3.619805315150978,3.9852979718949646,0.0005408325397211191,0.0030460172425532226,0.43,0.24253749999999996,1.1390209728827043,0.9905968829662748,48.982780536065896,0.0,0.0,0.43,0.0,0.0,0.0,0.3024200919062588,1.101769367089798,0.8285063850903365,0.227367412990151,1.117288344236496
heat_125,a10_supply_priority_v06,2.6818572444871402,3.570305617962132,3.8723664106227993,0.0005047416453192176,0.0028976210356698316,0.425,0.2383458333333333,1.137054310591429,1.0067213300396043,48.60077627894595,0.0,0.0,0.425,0.0,0.0,0.0,0.3017337943111799,1.0999579730982187,0.8285043806348057,0.19989665634060055,1.1086696604428914
heat_125,a10_supervisor_v07,2.5218932779064915,3.2802450170761226,3.375935360724091,2.137209207848902e-06,2.1058902683511646e-05,0.175,0.005083333333333316,1.0481127762432678,0.9465534792079308,46.647267988435395,0.0,0.0,0.0,0.0,0.18,0.01,0.2862991776540698,0.9679812932579304,0.7942361195918436,0.09706559499829234,0.9969337838395718
heat_125,a10_supervisor_refined_v07,2.523743726902742,3.2895084419252134,3.398926535554161,2.1480519966752506e-06,2.1170031485283756e-05,0.175,0.0051083333333333154,1.048235716206505,0.958655367266132,46.63585134830723,0.0,0.0,0.0,0.0,0.18,0.01,0.28397578844979815,0.9678739553524727,0.7942361195918436,0.09713037248507761,0.9969782710252832
heat_125,a10_minimax_v07,2.377719127228579,3.187314330073383,3.268200794137229,3.181445884882009e-06,3.162002963677479e-05,0.135,0.005487499999999984,1.0331024417734087,1.0651583634186161,43.28732021306192,0.0,0.0,0.0,0.0,0.145,0.015,0.2683942106224042,0.9590946900085652,0.794290431922249,0.091492783825697,0.9975642526322965
heat_150,power_only,2.609189340076286,5.380868471623928,6.624400671959322,0.021369803150781366,0.04905881137961847,1.0,0.7245083333333332,1.115412480954132,0.3983291368177969,7.8508639526918,0.0,0.0,1.0,0.0,0.56,0.0,0.48687744959539053,1.3871577864078748,0.8496905032109258,-0.05604367473242852,1.0785126823607831
