profile,controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R,fail_p,fail_a,fail_h,fail_phi,fail_m,fail_I
combined_moderate,a10_thermal_v04,5007,2.376948845014345,0.0,0.0,0.0,0,0.8394641781592354,0.3881702808052619,0.9526106322211935,0.0006534538526822873,0.3378808204570721,1.1578461978681183,0.8146676434921996,44.2803063263181,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5008,2.5337828420683013,0.0,0.0,0.0,0,0.8378403622366467,0.31951412969900245,0.9863274076570768,0.0007243960607828846,0.40020174964253913,1.14865350726944,0.8672261824853611,47.20675211142458,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5009,1.848104850529315,0.0006139408932309388,0.6014285714285714,0.0,1,0.8388422172555506,0.24658645944540128,1.0429828839890023,0.0008084974895110796,0.6543991024279964,1.1386424626855882,0.9571404958590639,31.905653240688164,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5010,2.8431425951755673,0.0,0.0,0.0,0,0.8420653712936463,0.31291881881871136,0.9260463787855342,0.0008880821428853119,0.27935442647452974,1.1686986010550275,0.7461071074398871,53.8784234737518,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5011,3.056278539771769,0.0,0.0,0.0,0,0.8414162149173294,0.30472403827395467,0.9780819344190486,0.0008769745839188463,0.23933868631291288,1.1555203812737935,0.8350873406013999,57.785221433029776,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5012,2.940227566467565,0.00732931769573855,0.7157142857142857,0.0,1,0.835438556418642,0.3332595350467429,1.1320428819621309,0.001067931479701299,0.5901148844393921,1.1214310737453512,1.1475669569106883,39.555648110231445,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5013,3.5772053812567286,0.0020933516994008842,0.6442857142857144,0.0,1,0.8377435394148,0.32485217218934925,1.0803868180267324,0.0007221805550517143,0.19907724751693065,1.1317950222887097,1.0477078587517177,63.16657279132593,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5014,3.11900611826364,0.0018989798451940895,0.6071428571428572,0.0,1,0.8378185557343125,0.3153802564328616,1.0852876285283641,0.0008500287124871153,0.34532042096625987,1.1338204485059318,1.0080217220766,54.55007578657822,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5015,1.423625667485013,0.0,0.0,0.0,0,0.8407153235892413,0.2935850525990022,0.9189906682631953,0.0008990219114321891,0.660221652211116,1.1647625475796957,0.7537627932102666,25.45746217685919,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5016,2.674243981442819,0.0053837014829831355,0.6928571428571428,0.0,1,0.8356407436644737,0.31530059197176935,1.1169215852697687,0.001269152029426303,0.6070395485421842,1.1252219567209676,1.0968924027331006,38.32990705195771,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5017,2.6224118947792676,0.0017005022608960264,0.6557142857142857,0.0,1,0.8356089099336629,0.2122576214807635,1.0609730115405407,0.0008271818161406288,0.3326691609452207,1.1342186680976702,0.9852962667747123,45.10604830669445,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5018,1.7929735990661004,0.0,0.0,0.0,0,0.8393378640366687,0.2662782211445664,0.9985726094453204,0.0007894087357150434,0.5924085403863412,1.1468861498792915,0.8844508829270168,32.32166844961394,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5019,1.5431563841037343,0.0,0.0,0.0,0,0.8384924699051018,0.359567909759348,0.9841069608405894,0.0008395345928207309,0.6701281781775084,1.1494738645963793,0.8789019996152133,27.347519683613832,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5020,1.6810934143164595,0.0,0.0,0.0,0,0.8407310466519651,0.34866645356235126,0.9666834793738545,0.0009259243828846274,0.6128029220051574,1.1583942312024493,0.8101715490011498,30.38118209032459,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5021,2.71871689684726,7.480861671210581e-05,0.3957142857142857,0.0,1,0.8360608218045323,0.28680978286624437,1.023485213570343,0.0006997093912358909,0.34788148664979684,1.141480527537343,0.9276599880474399,50.51408075133123,0,0,1,0,0,0
combined_moderate,a10_thermal_v04,5022,3.017802206420417,5.227319580617954e-07,0.01285714285714279,0.0,1,0.840429088691492,0.3125628490901815,0.9927082023947825,0.0009093312796733149,0.13877282192114862,1.150891939002022,0.8692362732311907,56.87805357156745,0,0,0,0,1,0
combined_moderate,a10_thermal_v04,5023,2.795571129180804,0.0,0.0,0.0,0,0.8406894144922794,0.371881504887545,0.9930709354183536,0.0008027779331494204,0.2582547934919904,1.1521057987115337,0.8752343960630816,52.410484999363746,0,0,0,0,0,0
combined_moderate,a10_thermal_v04,5024,1.4856954953999777,0.0,0.0,0.0,0,0.8407017242847861,0.3326957338517057,0.9778554926943124,0.0008119432488391602,0.7104107016668226,1.1549998208925625,0.8437179335568531,26.33903817377214,0,0,0,0,0,0
