controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R
a10_rpt,1049,3.2313949395124455,9.221519862111287e-06,0.030833333333333268,0.0,1,0.8640651519308293,0.26714244861961933,0.9358283300312109,0.0027123587913694997,0.12202636225265712,1.197983168957612,0.6017979435612797,62.20226397627956
a10_rpt,1050,3.9633722728827037,0.00018134754317728586,0.09083333333333321,0.0,1,0.8672509787197853,0.29714109660090915,0.9049839343001123,0.004521367068552474,0.07790788419976034,1.2092232020610008,0.607156305739347,76.4761251483421
a10_rpt,1051,4.151584776751156,0.00011439202253611138,0.0691666666666666,0.0,1,0.86774670851203,0.3520231571297845,0.8834948578746351,0.00424898762546683,0.08161683279538667,1.2153785104587524,0.61947315711809,80.32501886147853
a10_rpt,1052,2.664693814297888,0.0,0.0,0.0,0,0.8653877750825877,0.26048855015012995,0.9151958192850165,0.001753517051095463,0.22011551471610746,1.2064531870789281,0.5899395148447355,50.93411822657882
a10_rpt,1053,2.9617183582749202,0.0,0.0,0.0,0,0.8669763882100071,0.36743958001623045,0.9287851251560193,0.003497938178665047,0.19734495719422776,1.2079385955808815,0.6287164701468778,56.71950128491089
a10_rpt,1054,2.9028513291172855,0.0,0.0,0.0,0,0.8650849171644017,0.21958753595017136,0.965304542362756,0.0021270274492590133,0.24480849428499013,1.1877208134475743,0.5959299513079312,55.67330677711398
a10_rpt,1055,1.9530447774136797,0.0,0.0,0.0,0,0.8664625181679728,0.33975961059560206,0.8820365295200151,0.002075078424648826,0.4265808240307943,1.2166474362587343,0.6022986385716478,36.651700993987
a10_rpt,1056,3.207848542706305,0.0,0.0,0.0,0,0.8670939775851443,0.35776818463531285,0.8803575990813128,0.002550732528263835,0.19294401524149066,1.2175722254263903,0.6060786342666326,61.732656317059565
a10_rpt,1057,3.721009262612599,0.00019396326394958182,0.0858333333333332,0.0,1,0.8651296174731694,0.26776622489200924,0.9184591938734764,0.003771243681414399,0.06627096624643934,1.2039517953171928,0.6016673652995661,71.62558926315455
a10_rpt,1058,2.0052198042377944,0.0,0.0,0.0,0,0.865873861254107,0.24519438619156106,0.8580138577463164,0.0009677559105736634,0.3799160874229201,1.2201988035810303,0.575664749942261,37.80173708498684
a10_rpt,1059,2.6977305823527042,0.0,0.0,0.0,0,0.866624206442324,0.2911724948022284,0.9001185361424103,0.0027503176754999515,0.20476273886981686,1.2133338736400934,0.5925733908699938,51.584318083574104
a10_rpt,1060,2.440997666405552,0.0,0.0,0.0,0,0.8663930293640235,0.3644998632049841,0.8959256236376991,0.002390362460253039,0.35082932228048913,1.2156819271004902,0.6112281687064058,46.37504065328541
a10_rpt,1061,3.9826626796802884,0.0004702826543182988,0.11583333333333323,0.0,1,0.8677106435943374,0.287189682429276,0.9331309494276412,0.0034888257844567392,0.04145672417050659,1.1970404064276245,0.61801524003813,76.24062732481664
a10_rpt,1062,3.807207884537097,4.265909505902456e-06,0.02249999999999991,0.0,1,0.8678146771169074,0.32564605223923515,0.8839746166071163,0.0030643255189039863,0.12569057238451647,1.2182627418255438,0.6017696899038499,73.72854711211473
a10_rpt,1063,2.5590775007253574,0.0,0.0,0.0,0,0.8638968300583997,0.33793267084299405,0.9909341567027073,0.004907701398393371,0.2865353457342978,1.1809242602024037,0.6506104554025629,48.579108192896896
a10_rpt,1064,4.219905766520387,0.0009643392460615215,0.13916666666666655,0.0,1,0.8677593688021266,0.2674581722179425,0.9073935086994264,0.0026050320238306013,0.004828802560414345,1.2040989805457305,0.6012998613157174,80.06423739302184
a10_rpt,1065,2.981087629024474,0.0,0.0,0.0,0,0.866594265460641,0.37254913537254736,0.9160481532074912,0.002948105968022323,0.23602173199920035,1.209659500839265,0.6221174559422133,57.133282756720625
a10_rpt,1066,3.4801487348655353,2.7354412095673157e-05,0.047499999999999876,0.0,1,0.8667477507837246,0.28965548829673493,0.946233989985854,0.003537648992932334,0.1088787641946832,1.1979645223404325,0.6098535421691615,67.10885170444271
a10_rpt,1067,2.5413696563638757,2.679802702060263e-07,0.06083333333333324,0.0,1,0.8639312603297346,0.3176912099804383,1.0035345852763005,0.004026453584133162,0.3193088883028963,1.1774323326985252,0.6545878320819098,48.20850583840946
a10_rpt,1068,3.168320328541622,0.0,0.0,0.0,0,0.8656582331610724,0.32416020415474395,0.9810927407282715,0.003841866137914886,0.19464238865220285,1.183948178463059,0.6415633165892668,60.80015330447537
a10_rpt,1069,4.019495870136782,0.00033697433329404734,0.10583333333333322,0.0,1,0.866014723800218,0.34108284377811915,0.9998666407106129,0.005613821652693584,0.050639154289966605,1.1810117829621558,0.6667170743848414,77.04910043860818
a10_rpt,1070,2.0592237973686998,0.0,0.0,0.0,0,0.8642204058746298,0.26100503703147165,0.9935531703408553,0.0024664572745374757,0.39420107974597124,1.181503761709742,0.6145933583738633,38.726102513878544
a10_rpt,1071,3.8138493210440347,0.00044610606029994943,0.11749999999999994,0.0,1,0.8635386013174237,0.24196347194486575,0.9761221976627065,0.0029972562350213394,0.04420936683466725,1.180458861190551,0.6123703033053346,72.93529308705945
a10_rpt,1072,2.6469775490852085,0.0,0.0,0.0,0,0.8661088202076627,0.2946212908676657,0.9697497249475834,0.0028702966610200656,0.21441266343684193,1.1921172082370999,0.6181719754757204,50.466863079801286
a10_rpt,1073,3.3609738202038675,0.0,0.0,0.0,0,0.8653261189114889,0.24441904097202433,0.9910580766224785,0.002979094548253255,0.17040948340771675,1.180346398199831,0.6139924451366051,64.76350662353093
a10_rpt,1074,3.0499607056612446,0.0,0.0,0.0,0,0.8663979859741395,0.3463873797975741,0.936774663429963,0.00302572710658065,0.19285945361332124,1.2027712820617171,0.6258353558915228,58.495872689658796
a10_rpt,1075,4.038888205019964,0.00014675867714472856,0.16249999999999992,0.0,1,0.8635675771033867,0.29997777149826754,1.0044751092493525,0.004136555414379474,0.07424463287109243,1.1745152489831647,0.6490630800151937,77.88799442604903
a10_rpt,1076,3.79698343785089,0.0004055050037020515,0.11249999999999993,0.0,1,0.8686945531584312,0.28775885484878155,0.8777226534762108,0.0034038469637052023,0.0456415155942254,1.214919605390539,0.5994082162540773,72.73102588459739
a10_rpt,1077,1.884008969728816,0.0,0.0,0.0,0,0.8661408880580367,0.37105976503733895,0.8617723482519413,0.003151083055772052,0.48599139647849604,1.2204165440059662,0.6070114648176844,35.25213353530558
a10_rpt,1078,2.239633060353118,0.0,0.0,0.0,0,0.8662028693916064,0.36076575892687623,0.8831389148553372,0.002474319581093631,0.39538752731214943,1.217476711590834,0.6061379619856281,42.36810935911984
a10_rpt,1079,3.092692238476088,2.094854500581608e-05,0.23416666666666658,0.0,1,0.8650905525927045,0.31482015363627636,1.0167940353069247,0.004125292595164885,0.21478845721268514,1.1775751264565653,0.6531125507400126,59.19949747655008
a10_rpt,1080,1.9409376662475573,0.0,0.0,0.0,0,0.8662063484151165,0.31498612663690956,0.9908956370277746,0.00428463414378761,0.4504475538779569,1.187014607341664,0.6390873885668196,36.26240377068387
a10_rpt,1081,3.7502881986889536,0.00020722844274680103,0.08416666666666656,0.0,1,0.8652539102873034,0.2659807288262368,0.9849821855514705,0.003112933783688262,0.06601635930503709,1.1866797002194798,0.6171405738881859,72.12274479273272
a10_rpt,1082,4.071086450180526,0.0004006258437157325,0.10583333333333322,0.0,1,0.8660134868607796,0.33204088822857836,0.9106453025341121,0.0033367474303632664,0.04454081310770094,1.2045355383247547,0.6235141356491728,78.12642077358235
a10_rpt,1083,2.511279966808627,0.0,0.0,0.0,0,0.8662743785761412,0.26378886818349395,0.9690735465411148,0.002981546064827219,0.29055565242158254,1.1909211488828395,0.6120906224293499,47.77723684645514
a10_rpt,1084,3.9840135634700755,9.739524928585323e-05,0.07083333333333325,0.0,1,0.868062067099822,0.3505734638389666,0.8670384841899269,0.0027593461707428883,0.08673431569861545,1.2208332779177493,0.6155644318858475,77.02322304328641
a10_rpt,1085,1.9987979827075801,0.0,0.0,0.0,0,0.8656681687776161,0.32841579704797025,0.9385385517097744,0.002844197067463575,0.46359783312921593,1.202245851092247,0.6217022586285355,37.489150619637456
a10_rpt,1086,2.2515104353054007,0.0,0.0,0.0,0,0.865847018563657,0.35424672053813544,0.8965655580089348,0.0025240296145351542,0.3887013277025668,1.2118952125413456,0.6111138122505578,42.58575345710578
a10_rpt,1087,2.6728090671177362,0.0,0.0,0.0,0,0.8667464532305093,0.3193810793058726,0.8595719621128393,0.0019198942831189934,0.2813919238450836,1.2238437321559237,0.5913128872245245,51.090929793456624
a10_rpt,1088,3.54356790567752,3.81912949874031e-05,0.05249999999999988,0.0,1,0.8670969621462693,0.32065380714850306,0.8546120758796062,0.0026401053193015477,0.10756992677028661,1.2223570444720235,0.600003158590132,68.39496288921507
a10_rpt,1089,2.968014173245039,0.0,0.0,0.0,0,0.8658574583216975,0.24572229461515435,0.9656510323171782,0.0022777431929983266,0.18343790014046976,1.1940640509272207,0.5989870274406552,56.96433535513815
a10_rpt,1090,2.6195758401600155,0.0,0.0,0.0,0,0.8661524648132708,0.3458905956017664,0.89212347432465,0.0034231546769317935,0.25633853512398797,1.211761529138003,0.6059441939727968,49.96774002730912
a10_rpt,1091,1.3974412708018926,0.0,0.0,0.0,0,0.8667745788358343,0.26149333189657037,0.8588971581973831,0.0015197338387210827,0.5384885832248746,1.2250836902086395,0.5784151018751058,25.635165008537427
a10_rpt,1092,3.1109490144987415,0.0,0.0,0.0,0,0.8648292881846438,0.24181265874395652,0.898068124497036,0.001764757558782113,0.19804306414790915,1.2098664319128405,0.5813397198955221,59.89362141039274
a10_rpt,1093,2.575066978799927,0.0,0.0,0.0,0,0.8650002929966565,0.32032104632596214,0.9547013681764869,0.003816640423344833,0.2775962848031602,1.1937727554066404,0.6280744317425369,48.989041849028396
a10_rpt,1094,3.348457561844755,0.0,0.0,0.0,0,0.8654803573036509,0.33129133337290495,0.8925409997952305,0.00263345735958478,0.1846497925801128,1.2100091284188528,0.6041795019215557,64.55243322920887
a10_rpt,1095,3.831526359572139,0.00044641632258082847,0.10749999999999993,0.0,1,0.8675433946146851,0.2894494069734582,0.8866210087871059,0.003487038376823556,0.03995683009664661,1.2151630341616335,0.600214359225762,73.33683710937807
a10_rpt,1096,2.3669068955805566,2.3218139377808944e-07,0.055833333333333235,0.0,1,0.8640560134158878,0.339958569539595,1.0034911597755534,0.0038034325103184848,0.32546057829615577,1.1758361585203227,0.6689941612289039,44.66169690390796
a10_rpt,1097,1.562722580628208,0.0,0.0,0.0,0,0.8658602114004149,0.280539351942745,0.9221881855006169,0.0024793456570198625,0.5031831421044612,1.2094100535961791,0.5978800807437201,28.862931289589277
a10_rpt,1098,2.21017442726077,0.0,0.0,0.0,0,0.8661165087652748,0.30048560767305477,0.9184315786301298,0.0034118225720712954,0.3941327645021954,1.2084806041149398,0.6021532837114105,41.79487541036976
a10_rpt,1099,1.6281977349213739,0.0,0.0,0.0,0,0.8655399795403437,0.2586125143816268,0.9317202289791267,0.0023803162662094078,0.4794122394635027,1.2010575163946482,0.5950041825178977,30.183937968355885
a10_rpt,1100,3.259209976481777,6.31299614461447e-05,0.054166666666666585,0.0,1,0.8672770766922283,0.2547400264888868,0.8753285566674124,0.002204789915918053,0.09311742572618957,1.2178195279370114,0.5850392307323589,62.71778268381381
a10_rpt,1101,1.934945306737013,0.0,0.0,0.0,0,0.8655633284081318,0.3669366376889155,0.8893300650922435,0.003205150306183188,0.4677308652712107,1.2144920884609403,0.610986134154481,36.254961598122335
a10_rpt,1102,4.068131189862358,0.00024343603943398953,0.08749999999999991,0.0,1,0.8665122484403254,0.305640654537589,0.8541772041007736,0.0030551175592938244,0.06022066919856245,1.2197288644193145,0.5989674218700658,78.47988203089892
a10_rpt,1103,2.7811525341831005,0.0,0.0,0.0,0,0.866855859325075,0.24685995904315053,0.957863511308493,0.0019421057204218153,0.18956194534481569,1.1967800247484188,0.5991210904888457,53.22656632170663
a10_rpt,1104,1.622459846551757,0.0,0.0,0.0,0,0.86612224155074,0.27055822980710076,0.8367823915835941,0.0006664967679344642,0.47343080334614146,1.2238738189067515,0.5781440852688804,30.13662058995962
a10_rpt,1105,3.161177169908117,0.0,0.0,0.0,0,0.8663778473853126,0.3119093348373007,0.9391228150614986,0.0030608419478253567,0.17241809268528138,1.2021532514028936,0.6137429090206832,60.7685717620796
a10_rpt,1106,1.7900323052631355,0.0,0.0,0.0,0,0.8652341234144081,0.3179119100344488,0.9977755327558615,0.005140531577868093,0.4431618903766358,1.181569793433824,0.6448922317116709,33.221077178416024
a10_rpt,1107,2.9333260041062315,0.0,0.0,0.0,0,0.866139748556025,0.31518395249375925,0.929230052453531,0.0035836294103021244,0.16668329936710882,1.2037157421666504,0.6119896193071344,56.21856160489609
